# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
NODE_1_length_428434_cov_23.833690	cds	38625	39680	-	LDPEMP_00160	mviM	putative dehydrogenase	COG:COG0673, COG:R, RefSeq:WP_011346353.1, SO:0001217, UniParc:UPI00005CE73C, UniRef:UniRef100_A0A6B3KKJ1, UniRef:UniRef50_P77376, UniRef:UniRef90_A0A0U5G325
NODE_1_length_428434_cov_23.833690	cds	39831	40202	+	LDPEMP_00165		BON domain-containing protein	KEGG:K04065, RefSeq:WP_008572114.1, SO:0001217, UniParc:UPI0001FD5358, UniRef:UniRef100_D4T949, UniRef:UniRef50_A0A0Q5H8K7, UniRef:UniRef90_A0A1C3NH29
NODE_1_length_428434_cov_23.833690	cds	40484	42295	+	LDPEMP_00170		Bacteriophytochrome (light-regulated signal transduction histidine kinase)	COG:COG4251, COG:T, RefSeq:WP_008572116.1, SO:0001217, UniParc:UPI0001FD5359, UniRef:UniRef100_A0A6L9X6N6, UniRef:UniRef50_Q8P5A5, UniRef:UniRef90_A0A2S7CKJ8
NODE_1_length_428434_cov_23.833690	cds	42292	42732	+	LDPEMP_00175	ompR	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	COG:COG0745, COG:TK, RefSeq:WP_003482689.1, SO:0001217, UniParc:UPI00000D7B85, UniRef:UniRef100_A0A6B3KJA9, UniRef:UniRef50_A0A091AUZ3, UniRef:UniRef90_F0CBP7
NODE_1_length_428434_cov_23.833690	cds	42736	44238	+	LDPEMP_00180	atoC	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	COG:COG2204, COG:T, RefSeq:WP_011346356.1, SO:0001217, UniParc:UPI00005CE73F, UniRef:UniRef100_Q3BXN6, UniRef:UniRef50_A0A0D0JHV5, UniRef:UniRef90_A0A6V7C116
NODE_1_length_428434_cov_23.833690	cds	44331	44846	+	LDPEMP_00185	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	COG:COG0801, COG:H, RefSeq:WP_057682128.1, SO:0001217, UniParc:UPI0006E5BEF5, UniRef:UniRef100_UPI0006E5BEF5, UniRef:UniRef50_A0A0U5BPG5, UniRef:UniRef90_A0A0U5BPG5
NODE_1_length_428434_cov_23.833690	cds	45016	45753	-	LDPEMP_00190	fabG	pteridine reductase	COG:COG1028, COG:I, RefSeq:WP_029818630.1, SO:0001217, UniParc:UPI0004A3EBD2, UniRef:UniRef100_A0A1S1XLB1, UniRef:UniRef50_A0A0U5BNP9, UniRef:UniRef90_A0A0U5BNP9
NODE_1_length_428434_cov_23.833690	cds	45821	47005	+	LDPEMP_00195	midA	SAM-dependent methyltransferase, MidA family	COG:COG1565, COG:R, SO:0001217, UniParc:UPI000EFDF6FE, UniRef:UniRef100_A0A7W7KWA7, UniRef:UniRef50_Q3BXN3, UniRef:UniRef90_Q3BXN3
NODE_1_length_428434_cov_23.833690	cds	46993	47412	+	LDPEMP_00200	vanZ	VanZ family protein	RefSeq:WP_218488928.1, SO:0001217, UniParc:UPI001C46694F, UniRef:UniRef100_UPI001C46694F, UniRef:UniRef50_G7US42, UniRef:UniRef90_V7ZA70
NODE_1_length_428434_cov_23.833690	cds	47665	49710	-	LDPEMP_00205		TonB-dependent receptor	RefSeq:WP_218558615.1, SO:0001217, UniParc:UPI001C47BB6B, UniRef:UniRef100_UPI001C47BB6B, UniRef:UniRef50_A0A0U5FA66, UniRef:UniRef90_A0A0U5FA66
NODE_1_length_428434_cov_23.833690	cds	50030	50890	-	LDPEMP_00210		Fe2OG dioxygenase domain-containing protein	RefSeq:WP_218558614.1, SO:0001217, UniParc:UPI001C4805B3, UniRef:UniRef100_UPI001C4805B3, UniRef:UniRef50_Q8P5B2, UniRef:UniRef90_Q8PPJ5
NODE_1_length_428434_cov_23.833690	cds	51076	52548	+	LDPEMP_00215		Lipoprotein	RefSeq:WP_031421017.1, SO:0001217, UniParc:UPI0004DF025A, UniRef:UniRef100_A0A7W7KVK1, UniRef:UniRef50_G7UPM1, UniRef:UniRef90_A0A0E3UGG2
NODE_1_length_428434_cov_23.833690	cds	52626	55283	+	LDPEMP_00220	fepA	Outer membrane receptor for ferrienterochelin and colicins	COG:COG4771, COG:P, RefSeq:WP_218558613.1, SO:0001217, UniParc:UPI001C45677E, UniRef:UniRef100_UPI001C45677E, UniRef:UniRef50_A0A508A3G1, UniRef:UniRef90_Q8P5B4
NODE_1_length_428434_cov_23.833690	cds	55443	56261	+	LDPEMP_00225		Type II secretion system protein C	RefSeq:WP_218558612.1, SO:0001217, UniParc:UPI001C48840C, UniRef:UniRef100_UPI001C48840C, UniRef:UniRef50_A0A0A3WIN6, UniRef:UniRef90_A0A0G8XQT9
NODE_1_length_428434_cov_23.833690	cds	56258	58336	+	LDPEMP_00230	gspD	type II secretion system secretin GspD	COG:COG1450, COG:U, RefSeq:WP_218558611.1, SO:0001217, UniParc:UPI001C4429EB, UniRef:UniRef100_UPI001C4429EB, UniRef:UniRef50_A0A0U5F7X2, UniRef:UniRef90_A0A0U5F7X2
NODE_1_length_428434_cov_23.833690	cds	58341	59828	+	LDPEMP_00235	gspE	type II secretion system ATPase GspE	SO:0001217, UniRef:UniRef50_A0A3E1KR56, UniRef:UniRef90_A0A3E1KR56
NODE_1_length_428434_cov_23.833690	cds	59815	61017	+	LDPEMP_00240	gspF	type II secretion system inner membrane protein GspF	RefSeq:WP_218558609.1, SO:0001217, UniParc:UPI001C483A37, UniRef:UniRef100_UPI001C483A37, UniRef:UniRef50_A0A6V7FC40, UniRef:UniRef90_A0A6V7FC40
NODE_1_length_428434_cov_23.833690	cds	61046	61510	+	LDPEMP_00245	gspG	type II secretion system major pseudopilin GspG	COG:COG2165, COG:NUW, KEGG:K02456, RefSeq:WP_065628811.1, SO:0001217, UniParc:UPI00080DE728, UniRef:UniRef100_A0A7W7P7C3, UniRef:UniRef50_A0A1I6JCY1, UniRef:UniRef90_A0A6B3KN03
NODE_1_length_428434_cov_23.833690	cds	61568	62032	+	LDPEMP_00250	gspH	Type II secretion system protein H	RefSeq:WP_041470004.1, SO:0001217, UniParc:UPI00059D18DF, UniRef:UniRef100_A0A2S7EE12, UniRef:UniRef50_Q8P5C0, UniRef:UniRef90_A0A2S7EE12
NODE_1_length_428434_cov_23.833690	cds	62016	62396	+	LDPEMP_00255	gspI	type II secretion system minor pseudopilin GspI	RefSeq:WP_008576731.1, SO:0001217, UniParc:UPI0001FD626D, UniRef:UniRef100_A0A0G8XSY9, UniRef:UniRef50_A0A0U5F9Z5, UniRef:UniRef90_A0A2S7EDN3
NODE_1_length_428434_cov_23.833690	cds	62393	62995	+	LDPEMP_00260	gspJ	type II secretion system minor pseudopilin GspJ	RefSeq:WP_218558608.1, SO:0001217, UniParc:UPI001C493D09, UniRef:UniRef100_UPI001C493D09, UniRef:UniRef50_A0A0A6U028, UniRef:UniRef90_A0A0A6U028
NODE_1_length_428434_cov_23.833690	cds	62995	63984	+	LDPEMP_00265	gspK	type II secretion system minor pseudopilin GspK	RefSeq:WP_218558607.1, SO:0001217, UniParc:UPI001C45FEB8, UniRef:UniRef100_UPI001C45FEB8, UniRef:UniRef50_A0A0A6TXD7, UniRef:UniRef90_A0A0G8UKY0
NODE_1_length_428434_cov_23.833690	cds	63981	65069	+	LDPEMP_00270	gspL	type II secretion system protein GspL	RefSeq:WP_218558606.1, SO:0001217, UniParc:UPI001C44E7EA, UniRef:UniRef100_UPI001C44E7EA, UniRef:UniRef50_A0A7W9JQJ3, UniRef:UniRef90_Q3BXL8
NODE_1_length_428434_cov_23.833690	cds	65066	65542	+	LDPEMP_00275		Type II secretion system protein M	RefSeq:WP_029818644.1, SO:0001217, UniParc:UPI0004A2BD24, UniRef:UniRef100_UPI0004A2BD24, UniRef:UniRef50_Q8P5C5, UniRef:UniRef90_Q3BXL7
NODE_1_length_428434_cov_23.833690	cds	65548	66258	+	LDPEMP_00280		Type II secretion system protein N	RefSeq:WP_218558634.1, SO:0001217, UniParc:UPI001C460D0F, UniRef:UniRef100_UPI001C460D0F, UniRef:UniRef50_A0A2H1SS27, UniRef:UniRef90_A0A2H1SS27
NODE_1_length_428434_cov_23.833690	cds	66611	67378	+	LDPEMP_00285	mngR	DNA-binding transcriptional regulator, GntR family	COG:COG2188, COG:K, SO:0001217, UniRef:UniRef50_W4SFU0, UniRef:UniRef90_W4SFU0
NODE_1_length_428434_cov_23.833690	cds	67422	68699	+	LDPEMP_00290	gluP	Glucose/galactose MFS transporter	RefSeq:WP_218558605.1, SO:0001217, UniParc:UPI001C477D09, UniRef:UniRef100_UPI001C477D09, UniRef:UniRef50_V4RTX6, UniRef:UniRef90_A0A6V7FBX9
NODE_1_length_428434_cov_23.833690	cds	68740	69807	+	LDPEMP_00295	purR	DNA-binding transcriptional regulator, LacI/PurR family	COG:COG1609, COG:K, RefSeq:WP_003482633.1, SO:0001217, UniParc:UPI00000D7BA2, UniRef:UniRef100_A0A0U5F8P9, UniRef:UniRef50_B4SIZ7, UniRef:UniRef90_W4SEU3
NODE_1_length_428434_cov_23.833690	cds	69814	70842	+	LDPEMP_00300	agaS	Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain	COG:COG2222, COG:M, RefSeq:WP_008576748.1, SO:0001217, UniParc:UPI0001FD64BE, UniRef:UniRef100_A0A0G8XPE6, UniRef:UniRef50_A0A6V7FCZ7, UniRef:UniRef90_A0A6V7FCZ7
NODE_1_length_428434_cov_23.833690	cds	70845	71999	+	LDPEMP_00305	nagA	N-acetylglucosamine-6-phosphate deacetylase	COG:COG1820, COG:G, EC:3.5.1.25, KEGG:K01443, RefSeq:WP_011346379.1, SO:0001217, UniParc:UPI00005CE757, UniRef:UniRef100_A0A6P0EE15, UniRef:UniRef50_K6Z731, UniRef:UniRef90_A0A6V7FBW8
NODE_1_length_428434_cov_23.833690	cds	72649	75213	+	LDPEMP_00310	fepA	Outer membrane receptor for ferrienterochelin and colicins	COG:COG4771, COG:P, SO:0001217, UniRef:UniRef50_A0A2N7QTL7, UniRef:UniRef90_W4SF73
NODE_1_length_428434_cov_23.833690	ncRNA	75261	75336	-	LDPEMP_00315	sX9	Xanthomonas sRNA sX9	RFAM:RF02228, SO:0000655
NODE_1_length_428434_cov_23.833690	cds	75532	76764	-	LDPEMP_00320	cca	multifunctional CCA addition/repair protein	COG:COG0617, COG:J, GO:0000049, GO:0000287, GO:0001680, GO:0004112, GO:0005524, GO:0016437, GO:0016791, GO:0042245, GO:0052927, GO:0052928, GO:0052929, RefSeq:WP_014089362.1, SO:0001217, UniParc:UPI000226641E, UniRef:UniRef100_A0A2S7EDM6, UniRef:UniRef50_Q8PPG9, UniRef:UniRef90_Q8PPG9
NODE_1_length_428434_cov_23.833690	cds	76922	78592	-	LDPEMP_00325	betA	choline dehydrogenase	COG:COG2303, COG:IR, EC:1.1.99.1, GO:0008802, GO:0008812, GO:0019285, GO:0050660, RefSeq:WP_218558603.1, SO:0001217, UniParc:UPI001C495999, UniRef:UniRef100_UPI001C495999, UniRef:UniRef50_Q8FKI9, UniRef:UniRef90_Q3BXK8
NODE_1_length_428434_cov_23.833690	cds	78717	80189	-	LDPEMP_00330	betB	betaine-aldehyde dehydrogenase	COG:COG1012, COG:I, EC:1.2.1.8, GO:0004029, GO:0008802, GO:0019285, GO:0046872, RefSeq:WP_008576753.1, SO:0001217, UniParc:UPI0001FD64C3, UniRef:UniRef100_A0A0G9A9E7, UniRef:UniRef50_Q8FKI8, UniRef:UniRef90_Q8P5D8
NODE_1_length_428434_cov_23.833690	cds	80230	82209	-	LDPEMP_00335	betT	Choline-glycine betaine transporter	COG:COG1292, COG:M, RefSeq:WP_218558602.1, SO:0001217, UniParc:UPI001C43910F, UniRef:UniRef100_UPI001C43910F, UniRef:UniRef50_Q8P5D9, UniRef:UniRef90_Q8P5D9
NODE_1_length_428434_cov_23.833690	ncRNA	82353	82428	-	LDPEMP_00340	sX9	Xanthomonas sRNA sX9	RFAM:RF02228, SO:0000655
NODE_1_length_428434_cov_23.833690	cds	82491	83258	-	LDPEMP_00345	elsH	Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family	COG:COG3568, COG:R, SO:0001217, UniParc:UPI00005CE75D, UniRef:UniRef100_A0A0G8VSP3, UniRef:UniRef50_A0A1T4RJZ7, UniRef:UniRef90_A0A1C3NFV0
NODE_1_length_428434_cov_23.833690	cds	83278	84093	-	LDPEMP_00350	dsbC	Protein thiol-disulfide isomerase DsbC	COG:COG1651, COG:O, RefSeq:WP_065628499.1, SO:0001217, UniParc:UPI00080EDEDE, UniRef:UniRef100_UPI00080EDEDE, UniRef:UniRef50_A0A0U5F8H7, UniRef:UniRef90_A0A0U5F8H7
NODE_1_length_428434_cov_23.833690	cds	84185	84835	-	LDPEMP_00355	dsbC	Protein thiol-disulfide isomerase DsbC	COG:COG1651, COG:O, RefSeq:WP_008576757.1, SO:0001217, UniParc:UPI00005CE75F, UniRef:UniRef100_A0A6B3KHP3, UniRef:UniRef50_V7ZDI6, UniRef:UniRef90_F0BEE6
NODE_1_length_428434_cov_23.833690	cds	84930	85727	-	LDPEMP_00360	cytC553	Cytochrome c553	COG:C, COG:COG2863, RefSeq:WP_014089367.1, SO:0001217, UniParc:UPI0002266423, UniRef:UniRef100_A0A1S1XLZ7, UniRef:UniRef50_J7VRX0, UniRef:UniRef90_A0A1Y6HK82
NODE_1_length_428434_cov_23.833690	cds	85871	86494	+	LDPEMP_00365	yihA	ribosome biogenesis GTP-binding protein YihA/YsxC	COG:COG0218, COG:D, GO:0000917, GO:0005525, GO:0046872, RefSeq:WP_031421051.1, SO:0001217, UniParc:UPI0004DEDD62, UniRef:UniRef100_A0A3G2W913, UniRef:UniRef50_Q9PDE9, UniRef:UniRef90_Q3BXK1
NODE_1_length_428434_cov_23.833690	cds	86768	88249	+	LDPEMP_00370	gsh2	glutamate--cysteine ligase	COG:COG3572, COG:H, SO:0001217, UniRef:UniRef50_H9N1R9, UniRef:UniRef90_A0A2H1QE76
NODE_1_length_428434_cov_23.833690	cds	88437	89939	-	LDPEMP_00375		histidine kinase	RefSeq:WP_029818653.1, SO:0001217, UniParc:UPI0004A27B16, UniRef:UniRef100_UPI0004A27B16, UniRef:UniRef50_A0A0K3A0D3, UniRef:UniRef90_V7ZFD7
NODE_1_length_428434_cov_23.833690	cds	89936	90715	-	LDPEMP_00380	ompR	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	COG:COG0745, COG:TK, RefSeq:WP_011346389.1, SO:0001217, UniParc:UPI00005CE764, UniRef:UniRef100_A0A6B3KEB3, UniRef:UniRef50_Q5GVZ7, UniRef:UniRef90_Q5GVZ7
NODE_1_length_428434_cov_23.833690	cds	90880	91893	+	LDPEMP_00385	rfaB	Glycosyltransferase involved in cell wall bisynthesis	COG:COG0438, COG:M, SO:0001217, UniRef:UniRef50_A0A1C3NFW1, UniRef:UniRef90_A0A1C3NFW1
NODE_1_length_428434_cov_23.833690	cds	91844	92680	+	LDPEMP_00390		Secreted protein	SO:0001217, UniRef:UniRef50_Q8PPF4, UniRef:UniRef90_Q3BXJ6
NODE_1_length_428434_cov_23.833690	cds	93008	93283	+	LDPEMP_00395		Metal-sensing transcriptional repressor	KEGG:K23239, RefSeq:WP_005911021.1, SO:0001217, UniParc:UPI00000D7BB5, UniRef:UniRef100_Q3BXJ5, UniRef:UniRef50_M4WSI7, UniRef:UniRef90_Q3BXJ5
NODE_1_length_428434_cov_23.833690	cds	93350	94459	+	LDPEMP_00400	frmA	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	COG:C, COG:COG1062, RefSeq:WP_008576768.1, SO:0001217, UniParc:UPI00005CE768, UniRef:UniRef100_A0A6B3KGK8, UniRef:UniRef50_P46415, UniRef:UniRef90_A0A4Q3IXD8
NODE_1_length_428434_cov_23.833690	cds	94528	95103	+	LDPEMP_00405	gfa	S-(hydroxymethyl)glutathione synthase	EC:4.4.1.22, GO:0008270, GO:0046294, GO:0051907, RefSeq:WP_029818656.1, SO:0001217, UniParc:UPI000301D0B7, UniRef:UniRef100_A0A0G9ECH6, UniRef:UniRef50_Q8PPF1, UniRef:UniRef90_Q8PPF1
NODE_1_length_428434_cov_23.833690	cds	95161	95991	+	LDPEMP_00410	fghA	S-formylglutathione hydrolase	COG:COG0627, COG:V, RefSeq:WP_218496584.1, SO:0001217, UniParc:UPI001C441AEF, UniRef:UniRef100_UPI001C441AEF, UniRef:UniRef50_Q8E801, UniRef:UniRef90_A0A0U5FBW1
NODE_1_length_428434_cov_23.833690	cds	96158	96496	-	LDPEMP_00415		Transcriptional regulator	RefSeq:WP_008576771.1, SO:0001217, UniParc:UPI0001FD64D0, UniRef:UniRef100_A0A0G8V9Y6, UniRef:UniRef50_B4SIV1, UniRef:UniRef90_Q5GW03
NODE_1_length_428434_cov_23.833690	cds	96685	98346	-	LDPEMP_00420	ettA	energy-dependent translational throttle protein EttA	COG:COG0488, COG:R, RefSeq:WP_005910999.1, SO:0001217, UniParc:UPI00000D7BBD, UniRef:UniRef100_A0A0U5G384, UniRef:UniRef50_A0A0H2VFI8, UniRef:UniRef90_A0A0R0DB65
